Rank,Team/User Name,School/Organization,Score
2513,"BeruangBelakang","siberuang17",3660
2514,"zakio2","Waseda",3660
2515,"1337h4x0rz","Niskayuna High School",3660
2516,"stew314","UNC Chapel Hill",3660
2517,"Vnvneh","IUT orsay",3635
2518,"potatofield","UFV",3635
2519,"Team Maniac","KDU University College",3635
2520,"fenrir","UPM",3635
2521,"bzyku64","Technikum Informatyczne SCI",3635
2522,"Don't","The Woodlands School",3625
2523,"asagohan","R. Nelson Snider High school",3625
2524,"PfuschAmBau","FH Campus Wien",3610
2525,"b0tchsec","b0tchsec",3610
2526,"clong","UNSW",3610
2527,"atlas","Army",3610
2528,"Reptilian Shapeshifters","CSN",3610
2529,"John","MTA",3610
2530,"zuku","N/A",3610
2531,"xeonerix","MSTUCA",3610
2532,"Kapolei Savagers","Kapolei High School",3610
2533,"Pauletuzman","Texas A&M University, College Station, Texas",3610
2534,"Cyberbullies","Westmont High School",3610
2535,"NULLPTR","----",3610
2536,"skystork3","WSB Gdynia",3610
2537,"在座的各位都是弟弟","Cerritos High School, CA",3610
2538,"SudiSn1p3rs","ShaQra",3610
2539,"10x","hse lyceum",3600
2540,"9l17ch","School N 444",3600
2541,"genericTeamName","Naperville Central High School",3585
2542,"AitchBee","ENSIBS",3585
2543,"orfeusteam","private",3585
2544,"...","tcd",3585
2545,"Finashka","Financial Univercity",3585
2546,"tissue paper","tissue paper",3585
2547,"x86","Lakeland Community College",3585
2548,"Dethread","none",3585
2549,"MiniHacker","Harvest Christian Academy, Barri",3585
2550,"CloutForCloud","West Leyden High School",3575
2551,"cristy","Golden Valley High School, Santa Clarita, CA",3575
2552,"CW Seniors","Center Wellington District High School",3575
2553,"justlearnm0re","2333",3560
2554,"Pizzaroot","Raha International School",3560
2555,"goodluck","NANI",3560
2556,"du2","Deakin University",3560
2557,"FredNex","Home School",3560
2558,"g333z","CUHK",3560
2559,"g33k","Ndam",3560
2560,"dummies","Amrita vishwa Vidyapeetham, Amritapuri",3560
2561,"Team Logang","Green Hope High School",3560
2562,"ChallengedKids","Piedmont High",3560
2563,"rattar","Indian Institute of Technology Bombay",3560
2564,"SixthDimension","Rock canyon High School",3560
2565,"hanmin","minroco",3560
2566,"Intmain","N/A",3560
2567,"Notorious Skeeters","Upper Arlington High School",3560
2568,"△Triangle△","Tri-County RVTHS",3560
2569,"darkmatter","Mountain View School, Mountain View, California",3560
2570,"lilhsn","Saycurit",3560
2571,"B3RGBOI","Faith Lutheran MS",3560
2572,"urmom","Vandegrift High School",3560
2573,"AI_Majors","Grafton High School",3550
2574,"BritMonkey","Maidstone Grammar School for Girls",3550
2575,"Nichols School","Nichols School",3550
2576,"MHSCyber","Matoaca High School ",3550
2577,"sectalksadl","Sec Talks Adelaide",3535
2578,"Nef","SAFE",3535
2579,"UIT.Clone","UIT",3535
2580,"cyberteamAlpha","Mililani High School",3535
2581,"aidan0","Mountain View High School",3535
2582,"JSTNNK","Corpus Christi",3535
2583,"Blastitt","CNU",3525
2584,"enzodb","HUST",3525
2585,"MyriaBreak","CNU",3525
2586,"sudo man","Santa Teresa High School",3525
2587,"kerouac","Example School, Pittsburgh, PA",3510
2588,"Bit Muncher","University of Illinois Urbana Champaign",3510
2589,"afcidk","NCKU",3510
2590,"The-CPUs","Dublin High School",3510
2591,"LeBleuTeam","Houston High School, Germantown, TN",3510
2592,"The Mighty Pigacorns","Riley High School",3510
2593,"theshocktop","California State Polytechnic University, Pomona",3510
2594,"meenakshisl","Amrita School of Engineering",3510
2595,"Victorious Secret","Glades Middle School",3510
2596,"The Cloudenettes","West Leyden High School",3510
2597,"sacksackley","Sack",3510
2598,"Bobbert","Carnegie Mellon University",3510
2599,"x0rc3r3rs","IIT Kharagpur",3510
2600,"cyberarmor","John Jay College of Criminal Justice",3510
2601,"extract_implicit_requirements","EUni",3510
2602,"Krammies","Dr. Norman Bethune C.I.",3510
2603,"Panetonex","IME",3510
2604,"Warl0rd","Sectalks.org",3510
2605,"xecua","Tokyo Institute of Technology",3485
2606,"bitxer","Singapore Poly",3485
2607,"boiiii","Purdue University",3485
2608,"WitchcraftWorks ","UoA",3485
2609,"EebusLand","Clarkson ss  Ms On",3485
2610,"sjwcucks","united national cucks",3475
2611,"권민성1인팀","Korea.univ",3475
2612,"_purecall","aaa",3475
2613,"HuFi-ChaoBan","Đại Học Công Nghiệp Thực Phẩm",3475
2614,"Ultra Dust","Sir Winston Churchill, St. Catharines, ON",3475
2615,"Teardrop","National Institute of Technology, Nara College",3460
2616,"Dr Phil's hacking squad","Don't want to say",3460
2617,"W3IRDE3K0","None",3460
2618,"String cheese","Harvard-Westlake, CA",3460
2619,"shirosaba","Carnegie Mellon University",3460
2620,"harrietthespy","Devleague",3460
2621,"sowndar","university of maryland",3460
2622,"The Rad Lads","Shawsheen Technical High School",3460
2623,"xzrderek","Dublin Highschool",3460
2624,"learnCTF","UIT",3460
2625,"1019300","South High School",3460
2626,"guardianofflags","Ngee Ann Poly",3460
2627,"d3@D-L0ck","Universiti Teknologi Malaysia",3460
2628,"BackrowBananza","WDHS",3450
2629,"BlackOut","Lincoln High School",3450
2630,"Blazing_BM","Berufskolleg für Medienberufe",3435
2631,"kage","Uskudar American Academy",3435
2632,"HessianMatrix","school",3435
2633,"pseudoptics","University of Technology Sydney",3435
2634,"MLCPA1","MLCPA",3435
2635,"ODE Lives","State of Rhode Island",3435
2636,"KERT1","Kyungbuk University",3435
2637,"Droneking","Belconnen High School",3435
2638,"Pulang Araw","Pulang Araw",3435
2639,"MeMyselfAndI","MeMyselfAndI",3435
2640,"ant0","Company",3435
2641,"aphelps","Alburnett High School",3435
2642,"RootExploitation","High",3435
2643,"leafish","SHU",3425
2644,"Spice Girls","Sir Winston Churchill",3425
2645,"AlphaTeam","Golgon",3410
2646,"ironhaven","Centennial High School",3410
2647,"JJASH","ASIJ",3410
2648,"PITECH","SMKN 1 Cimahi",3410
2649,"WeffleTeam","MyOwn",3410
2650,"No Fun","Fanshawe",3410
2651,"Wicked","Ahmed Draya university",3410
2652,"JCIB","JCIB, Irondale, AL",3410
2653,"Scorpion","Forest City Regional High School",3410
2654,"phantom123","Thapar University",3410
2655,"susiejojo","IIIT Hyderabad",3410
2656,"SUPER PONNIES","Granite Bay",3410
2657,"letsmove","Society",3410
2658,"NeilMcNeilA","Neil McNeil",3410
2659,"JohnHammondYouTube","John Hammond's YouTube",3410
2660,"No-Jam","Universiti Teknologi Malaysia",3410
2661,"debiandan","netquest learning",3410
2662,"mark2222","MIT",3400
2663,"kool kids","Ledyard High School, CT",3400
2664,"Kryptoes","Washington DC",3385
2665,"Prime","Prime",3385
2666,"0hm","1337 LLC",3385
2667,"Quantum Edge","William Mason High School",3385
2668,"Error","Vishwakarma Institiute of Information Technology",3385
2669,"nyds1","nyds_1",3385
2670,"n4p13r","IIT Roorkee",3385
2671,"♪(๑ᴖ◡ᴖ๑)♪","Hun School of Princeton ",3385
2672,"demorty","asdf",3385
2673,"Super_Humans","John Polanyi Collegiate Institute",3375
2674,"Lliures","Universitat de Barcelona",3360
2675,"Team_Team","N/A",3360
2676,"Senioritis","Manalapan High School, Manalapan, New Jersey",3360
2677,"Pink Fluffy Unicorns","Danderyds gymnasium",3360
2678,"Trilogy_Technologies_Irl","Trilogy Technologies",3360
2679,"Golden Cereal","Rosemont College",3360
2680,"adrian","Company",3360
2681,"Roblox I Love It","PXL",3360
2682,"SWCA_Cyber","south western career academy",3360
2683,"Losefence","Creekside",3360
2684,"MNHS Mustrings","Millard North High School",3360
2685,"GetHxD0909","Facultatea de Matematica si Informatica",3360
2686,"bonchi","nothing",3360
2687,"obidubi","Owen J Roberts",3360
2688,"Sick-O's","Red Bank Regional",3360
2689,"badex155","Duale Hochschule Baden-Württemberg",3360
2690,"SuperDog2104","Industrial University of Ho Chi Minh City",3360
2691,"ProfessionalCryptologists","Rensselaer Polytechnic Institute, Troy NY",3350
2692,"topteam1","Mephi, Moscow",3350
2693,"lagadmisop","baihl",3350
2694,"LPGang","Lorne Park Secondary School",3335
2695,"p3p","University of Indonesia",3335
2696,"DirtyBytes","Lyceum of FESTU",3325
2697,"SPSS SAINTS","St. Peter's Catholic Secondary School",3325
2698,"mdandrea","Red Bank Regional High School",3325
2699,"curly","Daiict",3310
2700,"Alpha","CMRCET",3310
2701,"The Redundant Pigeons","Upper Arlington High School",3310
2702,"mansoo","Sunrin Internet HighSchool",3310
2703,"Amusement","ESGI",3310
2704,"jekrid_team","School",3310
2705,"ninjat","test",3310
2706,"n0xc0d3r","School 1",3310
2707,"d3v-nu11","UNAM",3310
2708,"Polo009","National Taiwan University",3310
2709,"Monte Python","Midway Isd",3310
2710,"jjunyoung99","Kongju National University",3310
2711,"kambing","UiTM",3300
2712,"5519","Louise Arbour Secondary School",3300
2713,"fhaji","Unikom",3285
2714,"Crypt0n","JUST",3285
2715,"tiki","Osaka City University",3285
2716,"United_Front","Blockhouse Bay Intermediate",3285
2717,"Icylollipop Factory","Marquette University",3285
2718,"occ55","Istanbul Technical University",3285
2719,"deepblue","Homeschooled (The Upstate Assoc of Homeschools)",3285
2720,"CyberMustangs","Damonte Ranch Highschool",3275
2721,"11235813","MBHS",3275
2722,"BENIS","PTIT",3275
2723,"WissaChickens","Wissahickon High School",3275
2724,"zlz","WSD",3260
2725,"Autíci","STU FIIT",3260
2726,"Infernal Ifrits","Miami Valley Career Technology Center, Clayton, OH",3260
2727,"updown1","James Logan High School",3260
2728,"ExPresidents","Point-Breakers",3260
2729,"something","Hershey High School",3260
2730,"juansa","DSTEAM",3260
2731,"Farquaad's FarSquaad","Syracuse University",3260
2732,"jajohnson46","Tennessee Tech University",3260
2733,"HackingAlbSig","Hochschule Albstadt-Sigmaringen",3260
2734,"CS123","Old Scona Academic",3260
2735,"William","Clear Springs High School",3260
2736,"bluez","Ulco Medical",3260
2737,"麻繩結衣","NTUST",3260
2738,"h4k3rm3n","John Polanyi Collegiate Institute",3260
2739,"bmhsHackers","Bernice MacNaughton High School",3250
2740,"iamgrootx","Confidential",3250
2741,"backtotheUSSR","John Polanyi CI, Toronto ON",3250
2742,"Level 7 Battle Slugs","Midway High School",3250
2743,"frmaster","Seoultech",3250
2744,"73CH5UPP0R7","VGE",3235
2745,"binuforce","Tri-County Regional Vocational Technical",3235
2746,"shubyy","Heckmondwike Grammar School",3235
2747,"Hellday","Hellday Fondation",3235
2748,"hackley","UMBC",3235
2749,"ThePolishPPK","Undefined",3225
2750,"SeaR1928","CCTT",3225
2751,"firenation","Bronx High School of Science, Bronx NY",3210
2752,"caIcutec","UCSD",3210
2753,"Newbie6666","UTAR, Malaysia",3210
2754,"Slash/Zer0_4","BVCOEND",3210
2755,"b4c0nb1ts","Entrepeneur",3210
2756,"coma","Georgia Tech",3210
2757,"Factory 1984","Dublin High School",3210
2758,"lep","XYC",3210
2759,"jgor","The University of Texas at Austin",3210
2760,"Kylar","Learning",3210
2761,"ericpqmor","ITA",3210
2762,"ripicea11","Shizuoka",3210
2763,"KIP","New York University",3210
2764,"ecct","self-employed consultant",3210
2765,"p0tato","EOC tech",3210
2766,"Miner012","RSHMU",3210
2767,"LilFunks","Newmarket High School",3210
2768,"Ranch","Holy Ghost Prep",3210
2769,"Random_noobs","Thapar Institute of Engineering and Technology",3200
2770,"bdemersk","Delta Kiloz LLC",3185
2771,"corru","RUB",3185
2772,"Netrunners","Centurion Battalion",3185
2773,"RewaemVBiblioteke","IITU",3185
2774,"go3","Bangeojin Higschool",3185
2775,"Govies2","scgssm",3185
2776,"TitanSec0x02","st petersburg college",3185
2777,"davis","KTH",3185
2778,"ShadowCat","Boston, MA",3185
2779,"Software Sisters","St. Peters Secondary School ",3185
2780,"synderWicca","G. Holmes Braddock",3185
2781,"Ignis","Cerritos High School",3175
2782,"Scratch is #1","Hershey High School, Hershey, PA",3160
2783,"cetfor","The Former Little Narwhals Club",3160
2784,"Baby Got Hack","Seneca Valley Senior HIgh School",3160
2785,"bugwatch","Amrita School Of Engineering",3160
2786,"Pickles","Bahcesehir High School for Science and Technology",3160
2787,"ecoders","Westlane Secondary School",3160
2788,"Cyber Cowboys","Cajon high School",3160
2789,"dstnluong","UC Berkeley",3160
2790,"andrewboudreau","JHDiscord",3160
2791,"Mission X","los angeles mission college",3160
2792,"Inter-core","None",3160
2793,"foxish","Hebron High School",3150
2794,"sparkle sparkle","John polanyi collegiate institude",3150
2795,"Chen","KMA",3150
2796,"MiddleTable","Sioux City Career Academy",3150
2797,"this_means_cyberwar","Deakin",3135
2798,"KMAsn0wm4n","Hanoi university of science and technology",3135
2799,"axl","NA School",3135
2800,"pboy","Nigerian Navy",3135
2801,"Thomas Sprigg Wootton Flag Hunters","Thomas Sprigg Wootton High School",3125
2802,"NGAAAA","asdada",3125
2803,"Sarec","Omaviat",3110
2804,"RealHSStudent","Harvard University",3110
2805,"low-key","BBB IT",3110
2806,"InfernoVeilBCA","Bergen County Academies",3110
2807,"SEES","Taylor High School",3110
2808,"5thFloorLounge","University of Maryland, College Park",3110
2809,"Techbaseball","Skyline ATS",3110
2810,"Elongated Muskrat","Cedarburg High",3110
2811,"coachwhitaker","Graves County High School",3110
2812,"taylor934","Naperville Central",3110
2813,"Team_UCC","Upper Canada College",3110
2814,"NUS Greyhats","NUS",3110
2815,"frozenfire","AMRITA VISWA VIDHYAPEEDAM",3110
2816,"NaTsUk0","USC",3110
2817,"owen51251","aaaa",3110
2818,"xXN4rut0Sl4y3rz_Pu$$yXx","Cégep Saint-Jean-sur-Richelieu",3110
2819,"qwazem","Rensselaer Polytechnic Institute",3110
2820,"mengmeng","Inspur",3110
2821,"CSS is the best programming language!","Millard North High School",3110
2822,"n0face51","University of the Philippines Diliman",3110
2823,"AnishaM8700","Dougherty Valley High School",3100
2824,"Bongo Nibbas","KDU University College",3100
2825,"Apollo 13","Canterbury High School",3100
2826,"nite","Merritt College",3085
2827,"Griffin and the other people","Academy for Science and Design",3085
2828,"Birdy1991","Free Agent",3085
2829,"n00b's team","king saud universty",3085
2830,"r1pcur1","Cal State Fullerton",3085
2831,"BoostedMonkey","Countryside Highschool",3085
2832,"4k107","IIITA",3085
2833,"yoogottamk","IIIT Hyderabad",3085
2834,"nullbit64","F.C.R.I.T",3085
2835,"SamAicardi","rob",3075
2836,"Rezaneesh","East Brunswick High School",3075
2837,"SPADE","Incheon Daegun Highschool",3075
2838,"CuentaFalsa","A, S, D",3060
2839,"DanWilliams","Richard Montgomery High School",3060
2840,"Imperium Sine Fine","Ridgeview Classical Schools, Fort Collins, CO",3060
2841,"r00t-acce55","Leaside High School",3060
2842,"tomotsmith2","MBHS",3060
2843,"TotalWeeb","Old Scona Academic",3060
2844,"EppDale","Axial IT Services",3060
2845,"SSS","AL University of Tirana",3060
2846,"NtRaiseHardError","InfoSecTM",3060
2847,"马云的骄傲,毛主席的光荣","KDU",3060
2848,"NeedFriends","William Aberhart High School",3060
2849,"Cyber Protectors","Gavilan College",3060
2850,"Yasuke","Hampton University ",3060
2851,"girfoob2","Troy High ",3060
2852,"lapiswoof","University of advancing technology",3060
2853,"Newbie","UTM",3060
2854,"X-However Crew","KDU",3060
2855,"TheHGB","none",3060
2856,"grominet","EPFL Architecture",3060
2857,"ECX Inc.","WMU",3050
2858,"Roosevelt Whatever","Roosevelt High School",3050
2859,"DeleteHumanity","Killeen High School",3035
2860,"mystith","Gaithersburg High School",3035
2861,"krode","Champlain College Burlington VT",3035
2862,"Rock_Hard_Pwners","ARMY",3035
2863,"Wupper","La Sapienza",3035
2864,"sheriffsparks","US Navy",3035
2865,"Passhorse","Example Org",3035
2866,"darawetmancer","Universitas Indonesia",3035
2867,"quocha","IUH",3035
2868,"KingChoBo","SCH",3025
2869,"King Wallace","Bristol-Plymouth, Taunton, Ma",3025
2870,"Stamklum","NotFound404",3025
2871,"joshgesler","None",3010
2872,"WEISE&STARK","Other",3010
2873,"ee2","None",3010
2874,"n00bz","university of edinburgh",3010
2875,"kavefish","Other",3010
2876,"theWholyTrintity","La Jolla High School, La Jolla, CA",3010
2877,"humangoogle","Cerritos High School",3010
2878,"AmericanoCaffe","American international school",3010
2879,"jgundlach","Mt Hebron High School",3010
2880,"ZAYEBIS CTF","Tamim Uqbal",3010
2881,"SwoodHJ","Sandalwood Heights SS",3010
2882,"danipj","Unicamp",3010
2883,"karan2dec","Indraprastha Institute of Information Technology",3010
2884,"Alt+F4 To Load","Warren Hills Regional High School",3010
2885,"Red Team","HHS",3010
2886,"Control Alt Falcons","Highlands Ranch Highschool",3010
2887,"Union of Soviet Socialist Republics","Waipahu High School",3010
2888,"ekkidrepadyrenbaconergott","Cyren",3010
2889,"cyberman","Creekside High School",3010
2890,"Obesity.","Golden Valley. Santa Clarita, CA",3010
2891,"BestTeam","Bollman technical education center",3010
2892,"Cryptomaniac","IIT Delhi",3010
2893,"DapperHacker","USAF",3010
2894,"fakescottishpeople","Highland Park Senior High School",3000
2895,"papi-ruso","University of Texas at San Antonio",3000
2896,"bkellyteacher","Lincoln High School",3000
2897,"trioctium","National University of Singapore",3000
2898,"SWindsor Boys","South Windsor High School",3000
2899,"hmiller20","Roslyn High School, Roslyn Heights, NY",2985
2900,"ChocoTaco","Lovely professional university",2985
2901,"xdavidwu","NCTU",2985
2902,"Classy Kids Corner","Omaha North",2985
2903,"SouvenirForrest","None",2985
2904,"NoStringsAttached","SIT",2985
2905,"AVPB","great mills high school",2985
2906,"200dB Keyboard","Sentinel High School",2975
2907,"sniperusna","NPS",2975
2908,"tjhackers1","Thomas Jefferson High School",2975
2909,"SQUAD","Cerritos High School",2975
2910,"Plutoberth","Rothberg Highschool",2960
2911,"Tylerxyz1","Other",2960
2912,"andover high ","Andover High School",2960
2913,"dashm8","some org",2960
2914,"Lord Shax","Herriman High",2960
2915,"de gallo","City College of San Francisco",2960
2916,"Steam Locomotive","University of Texas at Austin",2960
2917,"Password1234","Freehold High School, Freehold, NJ",2960
2918,"saggyboards","Herriman High",2960
2919,"Pufarine","International Computer High School of Bucharest",2960
2920,"DigitalChaos","Miami Valley CTC",2960
2921,"CyberEagles03","Tennessee Tech University",2960
2922,"B3R1K4","ISI",2960
2923,"Govies","SCGSSM",2960
2924,"MotherRussia","CTPT",2960
2925,"417","St. Andrew's College",2960
2926,"roro","No organization",2960
2927,"3a3a","flag divien",2960
2928,"The big one","Roma La Sapienza",2960
2929,"pran","NITK",2960
2930,"m13k0","The Linden School, Toronto, ON",2960
2931,"AmalSan","Cybersecurity",2960
2932,"shivsarthak","New Era Public School",2960
2933,"XDmonsters","Cedar Park High School",2950
2934,"Muppet Mafia","Christopher Columbus High School ",2950
2935,"A Team","KDU University College",2950
2936,"NEOC-TeamName","NeoCity Academy",2950
2937,"joool","Ruhr-University Bochum",2935
2938,"slaybitch","kth",2935
2939,"Team Lean Beam Green Beans","Tri-County RVTHS",2935
2940,"𝓗𝓸𝓶𝓸𝓰𝓵𝔂𝓹𝓱","Antarctica polytechnic",2935
2941,"rac0003x","lordavirtu@ezehe.com",2935
2942,"C0mP13X","Bam",2935
2943,"InaDing","Union High School",2935
2944,"KALIMAUT","IIIT Delhi",2935
2945,"m201410","United States Naval Academy",2935
2946,"qwerty","Danycom",2935
2947,"Iam9r00t","Mashok Pak Echo",2925
2948,"Team A0V3R-2","duru",2925
2949,"kachow","Vandegrift High School",2925
2950,"OTW","St Annes High School",2910
2951,"beaniethemeanie ","No u",2910
2952,"mgoodall","Miami Valley CTC",2910
2953,"HonestlyIdk","Troy High School",2910
2954,"Big Apples","Central Campus",2910
2955,"014597","GCHS",2910
2956,"darksider0700","mstuca ",2910
2957,"Kotoamatsukami","Crestwood",2910
2958,"Skillz that Killz","Cedarburg High School",2910
2959,"The Roblox Military Alliance ","Academy for Science and Design",2910
2960,"PaddleTappers","Western Governor's University",2910
2961,"cyberpuff_girls","Red Bank Regional, Little Silver, NJ",2910
2962,"GoToHellPlease","United States Coast Guard Academy",2910
2963,"Team MCX148","West Humber Collegiate Institute",2910
2964,"grufkork","Attarpsskolan",2910
2965,"IutParisDescartes","Ommelette du fromage",2910
2966,"mmuniz","John H Francis Polytechnic HS",2910
2967,"tyllero","Booz Allen",2910
2968,"microice","University of Warsaw",2910
2969,"iamr00t","TCA: College Pathways",2900
2970,"jackyzha0","St. George's",2885
2971,"Not So Anonymous","north des moines",2885
2972,"NEUQRO1","东北大学秦皇岛校区",2885
2973,"blackreaper","IIT Roorkee",2885
2974,"jesuisapathique","Universitas Gadjah Mada",2885
2975,"mectover","ISETCOM",2885
2976,"Phantom Forces","Leigh Highschool",2885
2977,"damamatto","NTT comware",2885
2978,"The Wolf Pack","Skyridge High School",2885
2979,"Bumblescrungous","Tri-County RVTHS",2885
2980,"Coding? Oh give me a <br>","University of South Wales",2875
2981,"Phryxam","Kent State University",2860
2982,"AntiPing","DonNU",2860
2983,"ImAWaterMelon","---",2860
2984,"double jeopardy","Montgomery Blair High School",2860
2985,"rejects","gmu",2860
2986,"CarnivorousRobot","Colorful Ninja",2860
2987,"PorridgeEater","University of Maryland",2860
2988,"BenFam","LLNL",2860
2989,"nooxet","LTH",2860
2990,"Blizzard Wizard Chizzard","I.S.187",2860
2991,"L Distribution 2","Richard Montgomery High School",2860
2992,"MysteryGang","Dalton School",2860
2993,"S t r i N g C h e Z e","Bayview Middle School",2860
2994,"kunbi1597","PTITHCM",2860
2995,"noTeam","Evil Corp",2860
2996,"d3vCr4ck","ESCOM",2860
2997,"hex","KSA",2860
2998,"tio","NTT comware",2860
2999,"moist","John H. Francis Polytechnic HS",2835
3000,"Elf Is","Germantown Friends School",2835
3001,"scannerjava","IIT Roorkee",2835
3002,"yashk2000","Amrita School of Engineering, Amritapuri",2835
3003,"eugenenosenko","EPAM",2835
3004,"UrSquadGoals","West Humber C.I",2835
3005,"CanofSoup","NITK",2835
3006,"Free The Ducks","Warren Hills",2825
3007,"No_Name","Providence University",2825
3008,"DuxAurum16","Brunswick High School, Brunswick, OH",2825
3009,"trev003","John Polanyi Collegiate Institute",2825
3010,"koala","NAaaa",2810
3011,"team0242","N/A",2810
3012,"Blazing kittens","The Citadel",2810
3013,"Username2516","Poolesville High School",2810
3014,"ECHHS","East Chapel Hill High School",2810
3015,"Adholokam","St.Mary's Vallarpadam, Kochi, Kerala, India",2810
3016,"Riyria","University of Warsaw",2810
3017,"Flex Tape","Cerritos High School, Cerritos, CA",2810
3018,"Blazing Dragons","NYU Tandon School of Engineering",2810
3019,"juniperberrie15","Coast Guard Acadmy",2810
3020,"YCIRT","York county government",2810
3021,"johnnybravoj","None",2810
3022,"Ammas_Hackers","Amrita Vidyalayam, Puthiyakavu",2810
3023,"Tutenshamun","Other",2810
3024,"lolomgwtfbbqhaxorz","new england institute of technology",2810
3025,"ShamelesS","Aksaray Şehit Pilot Hamza Gümüşsoy Fen Lisesi",2810
3026,"HiBye","Tandon",2810
3027,"zurkiyerti","sony",2810
3028,"klkl12345","PwC",2810
3029,"toxicpie","TCFSH",2800
3030,"Tester2009","Universiti Kuala Lumpur",2800
3031,"SY303","United States Naval Academy",2800
3032,"yyyyyyyyyy","yeungnam university college",2800
3033,"hamchouche99","Myself",2785
3034,"DireCTF","BITS Goa",2785
3035,"robot","Guangzhou University",2785
3036,"theBoys","Henry M. Gunn High School",2785
3037,"Anqns","重庆大学",2785
3038,"Kyubai","Fachhochschule Aachen",2785
3039,"Arctcfx","TriValley CoderDojo",2785
3040,"JHel","HiQ",2785
3041,"Hun School","Hun School of Princeton",2785
3042,"Raspberry","Universitas Bina Nusantara",2775
3043,"qwertymachine","N/A",2775
3044,"AnarchoTech NYC","AnarchoTech NYC",2775
3045,"JCMS","Jackson Creek Middle School",2775
3046,"House of Mercy","West Leyden High School",2775
3047,"Meverynoob","Dunman High School",2775
3048,"PALLAN","Thomas Jefferson High School, Pittsburgh PA",2775
3049,"linse","Universe",2760
3050,"ushurbro","MBHS, Silver Spring Maryland",2760
3051,"VAVI","FH STP",2760
3052,"joshsid","N/A",2760
3053,"zcr","University of Central Florida",2760
3054,"rabb1t","   ",2760
3055,"DecadentDecay","im just in this casually",2760
3056,"TheMucketeers","Malvern Collegiate Institute",2760
3057,"the_lost_dorks","sentinel",2760
3058,"last_place","Carnegie Mellon University, Pittsburgh, PA",2760
3059,"novak","College Rosemont",2760
3060,"lagrandenuit","Plano West Senior High",2760
3061,"CerteX","Sienkiewicz High School, Częstochowa",2760
3062,"TechSupport","Poolesville High School",2760
3063,"Rizbek","UMUC",2760
3064,"bennedikt","RSHU",2760
3065,"DryFinn","Karlsruher Institut für Technologie",2760
3066,"e10d","NTPU",2760
3067,"jonasj76","Westermo",2760
3068,"dmacing","UTSA",2760
3069,"BadMinds","jeddah",2760
3070,"The parrot","Ohio State University",2760
3071,"Gooneths","Great Mills High School",2760
3072,"hamad12125+__+","htreterh",2760
3073,"qw3rtyu10p","Birla Institute of Technology, Mesra",2760
3074,"CSP_CHN","FISAT",2750
3075,"guetASN","桂林电子科技大学",2750
3076,"El Ocean Dervish","ClearSprings HighSchool",2750
3077,"x4n0n","BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS",2735
3078,"keburusiang","Islamic University of Indonesia",2735
3079,"YaBoi","None",2735
3080,"Grinuthi","Swinburne university of technology",2735
3081,"stevenvorona","High Technology High School",2735
3082,"KumquatSquat","Montgomery Blair High School",2735
3083,"RHS Echo","Rocklin High School, Rocklin, Califronia",2735
3084,"Abishek Joana","Coolmathgames, Mexico, Utah",2735
3085,"Beensville Bucs","Beamsville District Secondary school",2735
3086,"z3r0c00l","MATI",2735
3087,"T0RP3D0","HMRITM, New Delhi",2735
3088,"whatsamottowithyou","Lake Travis High School",2725
3089,"NRL","BiNus",2725
3090,"kiemnghia","kiemnghia",2725
3091,"xTKingx","Clarkson SS",2725
3092,"mecanico","own",2710
3093,"Appleton","ABC",2710
3094,"DDD","School",2710
3095,"GrowthKeys2","The University of Electro-Communications",2710
3096,"duguhu","zju",2710
3097,"lockwood","UC Berkeley",2710
3098,"Gesundheit","Academy for Science and Design, Nashua, NH",2710
3099,"UnleashTheDawgs","UMBC",2710
3100,"jantheman99","N/A",2710
3101,"Wenatchee Hackers","n/a",2710
3102,"Newskill","IES Rafael Alberti",2710
3103,"cowityle","St. Peter",2710
3104,"unkn0wn","SangMyung",2710
3105,"The Game","Chico Country Day Charter School",2710
3106,"limitedadmin","pander schook",2710
3107,"secsec","misr university for science and technology",2710
3108,"onotch","---",2710
3109,"KamehKsTeam","University of Maryland",2710
3110,"TigerTech","Roseville High School",2700
3111,"momof2","CCSF",2700
3112,"DHS","Davis Senior High School Davis CA",2700
3113,"bilfs","Bangalore",2685
3114,"wppf","Bayside",2685
3115,"remi","LConsulting",2685
3116,"DrC0mm0n","Lovely Professional University",2685
3117,"SystemaHacker","수원 농생명고등학교",2685
3118,"Adam2519","SEEB",2685
3119,"RSAturday","UIT",2685
3120,"glyph76","skool_of_hard_hacks",2685
3121,"Sweet Corn","The Dalton School",2685
3122,"LinuxCoder123","DRHS",2685
3123,"speedrunpico","Trump University",2675
3124,"qwerty111","EEEE",2675
3125,"The Bros","West Leyden ",2675
3126,"LAMP","Roosevelt High School Honolulu, HI",2675
3127,"chipsndip hackers","Cyberjutsu Girls Academy",2675
3128,"amrxth21","Poolesville Highschool",2675
3129,"asians","Phillips Exeter Academy",2675
3130,"Team Wipe","KBTU",2675
3131,"1044143","South High School",2675
3132,"TKwon","South High School, Torrance CA",2675
3133,"eject01","SEFISA",2675
3134,"G44","Oak Hills High School",2675
3135,"malloc the Sp00ky opcodes","The Bronx High School of Science ",2660
3136,"H1terHub","HIT",2660
3137,"migueld3v","Acadèmia Núria",2660
3138,"imathur1","Naperville North High School",2660
3139,"0x000c0ded","Higher national School of Computer Science",2660
